Id,Class
262,8
263,0
264,4
265,6
266,6
267,4
268,8
269,5
270,0
271,7
272,5
273,9
274,5
275,7
276,8
277,1
278,7
279,9
280,8
281,5
282,0
283,5
284,5
285,7
286,4
287,5
288,1
289,6
290,7
291,4
292,8
293,6
294,7
295,9
296,5
297,6
298,3
299,5
300,7
301,7
302,1
303,9
304,2
305,8
306,2
307,2
308,2
309,4
310,7
311,6
312,6
313,2
314,1
315,6
316,6
317,1
318,6
319,8
320,3
321,0
322,2
323,9
324,8
325,5
326,2
327,6
328,6
329,5
330,5
331,4
332,6
333,8
334,9
335,6
336,7
337,3
338,1
339,9
340,9
341,3
342,4
343,6
344,0
345,1
346,3
347,8
348,2
349,8
350,7
351,6
352,7
353,5
354,2
355,8
356,8
357,6
358,6
359,8
360,1
361,0
362,0
363,2
364,5
365,8
366,9
367,7
368,7
369,9
370,2
371,9
372,9
373,6
374,5
375,4
376,3
377,1
378,0
379,8
380,2
381,6
382,8
383,9
384,9
385,7
386,6
387,1
388,4
389,2
390,1
391,9
392,8
393,8
394,2
395,8
396,9
397,1
398,2
399,9
400,7
401,6
402,4
403,5
404,4
405,3
406,3
407,7
408,8
409,6
410,9
411,6
412,9
413,4
414,7
415,0
416,6
417,2
418,7
419,0
420,0
421,6
422,8
423,5
424,7
425,7
426,7
427,8
428,4
429,5
430,3
431,4
432,1
433,9
434,5
435,7
436,2
437,2
438,8
439,6
440,1
441,8
442,3
443,3
444,1
445,6
446,1
447,7
448,2
449,8
450,4
451,9
452,9
453,8
454,5
455,0
456,6
457,9
458,4
459,5
460,9
461,0
462,7
463,4
464,4
465,3
466,1
467,7
468,6
469,3
470,9
471,7
472,8
473,3
474,8
475,6
476,3
477,1
478,3
479,7
480,9
481,3
482,3
483,2
484,4
485,7
486,9
487,4
488,1
489,9
490,4
491,7
492,9
493,5
494,3
495,8
496,4
497,9
498,7
499,9
500,6
501,5
502,4
503,4
504,6
505,0
506,0
507,4
508,6
509,6
510,0
511,6
512,2
513,2
514,0
515,9
516,8
517,8
518,8
519,3
520,1
521,8
522,9
523,2
524,9
525,0
526,9
527,2
528,6
529,9
530,7
531,8
532,8
533,8
534,2
535,2
536,7
537,1
538,6
539,6
540,2
541,5
542,2
543,9
544,6
545,9
546,5
547,2
548,1
549,1
550,2
551,9
552,9
553,3
554,8
555,8
556,4
557,2
558,5
559,1
560,6
561,9
562,4
563,7
564,2
565,6
566,4
567,2
568,9
569,1
570,7
571,6
572,8
573,3
574,9
575,6
576,3
577,2
578,4
579,9
580,2
581,3
582,5
583,9
584,6
585,0
586,8
587,0
588,4
589,3
590,3
591,4
592,2
593,2
594,9
595,9
596,6
597,4
598,9
599,1
600,3
601,5
602,9
603,2
604,9
605,6
606,7
607,3
608,5
609,5
610,4
611,0
612,2
613,9
614,6
615,0
616,7
617,1
618,3
619,9
620,6
621,9
622,6
623,7
624,8
625,3
626,6
627,5
628,9
629,1
630,5
631,0
632,6
633,8
634,0
635,6
636,9
637,4
638,7
639,9
640,4
641,6
642,9
643,9
644,7
645,7
646,8
647,9
648,1
649,6
650,9
651,4
652,0
653,8
654,9
655,5
656,3
657,0
658,5
659,3
660,0
661,5
662,4
663,9
664,8
665,8
666,8
667,9
668,9
669,0
670,3
671,5
672,9
673,3
674,1
675,9
676,4
677,6
678,1
679,1
680,0
681,9
682,3
683,8
684,3
685,9
686,5
687,7
688,6
689,0
690,4
691,8
692,7
693,1
694,2
695,7
696,2
697,3
698,0
699,2
700,2
701,3
702,3
703,7
704,9
705,5
706,2
707,3
708,9
709,2
710,2
711,9
712,4
713,1
714,8
715,3
716,6
717,0
718,2
719,2
720,8
721,1
722,5
723,8
724,3
725,7
726,4
727,5
728,8
729,8
730,9
731,5
732,9
733,4
734,7
735,5
736,5
737,2
738,7
739,0
740,1
741,4
742,0
743,2
744,9
745,6
746,7
747,2
748,8
749,2
750,6
751,9
752,2
753,9
754,1
755,6
756,8
757,5
758,3
759,3
760,9
761,2
762,0
763,2
764,8
765,4
766,4
767,9
768,7
769,6
770,8
771,0
772,4
773,1
774,9
775,2
776,6
777,3
778,4
779,5
780,2
781,2
782,8
783,2
784,6
785,9
786,1
787,9
788,2
789,5
790,2
791,7
792,2
793,9
794,7
795,4
796,0
797,4
798,2
799,4
800,7
801,6
802,5
803,6
804,5
805,3
806,3
807,9
808,6
809,4
810,4
811,9
812,7
813,1
814,5
815,5
816,3
817,0
818,0
819,8
820,4
821,7
822,6
823,8
824,8
825,3
826,9
827,8
828,8
829,3
830,5
831,6
832,6
833,3
834,3
835,6
836,9
837,1
838,6
839,6
840,5
841,9
842,4
843,0
844,7
845,7
846,8
847,8
848,9
849,2
850,5
851,9
852,7
853,9
854,4
855,6
856,4
857,9
858,2
859,2
860,4
861,7
862,4
863,4
864,4
865,9
866,2
867,5
868,6
869,5
870,8
871,9
872,9
873,4
874,4
875,9
876,5
877,7
878,8
879,2
880,2
881,3
882,4
883,6
884,5
885,9
886,8
887,4
888,2
889,7
890,6
891,7
892,8
893,0
894,6
895,2
896,6
897,7
898,9
899,2
900,5
901,4
902,5
903,6
904,1
905,3
906,2
907,7
908,2
909,3
910,4
911,2
912,1
913,6
914,8
915,5
916,3
917,1
918,8
919,5
920,5
921,5
922,5
923,7
924,5
925,3
926,9
927,9
928,7
929,2
930,5
931,8
932,4
933,7
934,8
935,0
936,9
937,7
938,9
939,7
940,5
941,3
942,8
943,3
944,8
945,1
946,4
947,2
948,1
949,9
950,2
951,2
952,1
953,6
954,4
955,9
956,6
957,0
958,6
959,9
960,3
961,9
962,6
963,9
964,4
965,4
966,7
967,6
968,4
969,0
970,1
971,4
972,6
973,5
974,5
975,6
976,7
977,0
978,5
979,3
980,5
981,7
982,2
983,2
984,9
985,9
986,1
987,6
988,6
989,9
990,3
991,6
992,7
993,4
994,2
995,9
996,2
997,2
998,2
999,4
